conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1888728639178428870,Sun Feb 09 23:16:13 +0000 2025,142,Ketika iringan mobil presiden memberi jalan kpd ambulans itu lbh dari sekadar tindakan teknis. Itu menunjukkan bhw KEMANUSIAAN lebih penting daripada KEKUASAAN. Kita butuh lebih banyak pemimpin yg paham bahwa ADAB adalah pondasi sebuah bangsa. @prabowo @Gerindra Respek https://t.co/2Aya23oUTV,1888728639178428870,https://pbs.twimg.com/ext_tw_video_thumb/1888728508714921984/pu/img/HuB9yjw4ufzwJHc0.jpg,,in,,5,20,42,https://x.com/BebySoSweet/status/1888728639178428870,1708495620376571904,BebySoSweet
1888725472789561822,Sun Feb 09 23:03:38 +0000 2025,318,Saya hanya ingin menyampaikan bahwa; Presiden @prabowo dan Pak Hashim Djojohadikusumo ; PUNYA MODAL BESAR . . ️ #FufufafaAibNasional https://t.co/OFyw2bn3mN,1888725472789561822,,,in,Wherever you're not lookin',8,31,82,https://x.com/__AnakKolong/status/1888725472789561822,1159689173340585984,__AnakKolong
1888722977510023324,Sun Feb 09 22:53:43 +0000 2025,172,Presiden RI Prabowo Subianto mengingatkan pers bahwa ada kecenderungan orang-orang yang memiliki modal besar ingin menguasai media untuk dapat mempengaruhi masyarakat negara tertentu. &lt; #PrabowoSubianto #HariPersNasional https://t.co/ANEc2MwywE,1888722977510023324,,,in,Jakarta,14,82,46,https://x.com/kompascom/status/1888722977510023324,23343960,kompascom
1888437506821194005,Sun Feb 09 20:40:09 +0000 2025,3547,@tubbirfess Sebenarnya kalo pak Prabowo mau efisiensi pengetatan ikat pinggang justru seharusnya dimulai dari lingkaran beliau kabinet beliau. Hapus kementerian yg unfaedah hapus staffsus presiden dan Wamen yg gak guna. Perampingan kabinet dan potong tunjangan pejabat dan wakil rakyat.,1888689365817384989,,tubbirfess,in,on earth,29,51,439,https://x.com/haiderisa619/status/1888689365817384989,1816053576856403968,haiderisa619
1888601645573156993,Sun Feb 09 14:51:35 +0000 2025,465,Kalau saja presiden kita pak @prabowo yang bicara begini ane yakin seluruh rakyat Indonesia bergarak melawan Oligarki. Kang Kholiq walau hanya seorang nelayan tapi cinta tanah airnya sudah tidak di ragukan lagi. Lawan Oligarki #AdiliJokowi #AdiliJokowi https://t.co/PzyIqnGnYJ,1888601645573156993,https://pbs.twimg.com/ext_tw_video_thumb/1888601595472125952/pu/img/mkrezIqY3EskscLl.jpg,,in,,4,22,152,https://x.com/M26165Kalong/status/1888601645573156993,1699747731529728000,M26165Kalong
1888579927903289463,Sun Feb 09 13:25:17 +0000 2025,1425,Bapak Presiden @prabowo yth melihat penyimpangan yg dilakukan oleh pjbt @atr_bpn di seluruh Indonesia yg menjadi alat Oligarki mengambil tanah negara dan menggusur rakyat - sebaiknya lembaga @atr_bpn direklamasi saja.,1888579927903289463,,,in,,6,65,487,https://x.com/msaid_didu/status/1888579927903289463,1117990249806721024,msaid_didu
1888563054264385888,Sun Feb 09 12:18:14 +0000 2025,80,saya mengagumi pa Prabowo sebagai pribadi menghormatinya sebagai presiden terpilih memahami 58% suara dibelakangnya tetapi sebagai wujud kekaguman dan penghormatan mohon maklum jika saya harus mengkritik beliau sebagai pemegang amanah rakyat,1888563054264385888,,,in,,1,11,8,https://x.com/GuruGembull/status/1888563054264385888,1793690889820553217,GuruGembull
1888544461283815892,Sun Feb 09 11:04:21 +0000 2025,1132,GIBRAN NGANCAM AKAN MUNDUR DARI WAKIL PRESIDEN... GIBRAN SI FUFUFAFA NEKAT MENGANCAM PRABOWO JIKA PDIP BERGABUNG DI PEMERINTAHAN PRABOWO....‼️ #JokowiDikepung #JokowiDikepung 🆘🆗 https://t.co/E5piUj7bAC,1888544461283815892,https://pbs.twimg.com/ext_tw_video_thumb/1888544383160737792/pu/img/79S2kU6UUwedBjnb.jpg,,in,,40,390,419,https://x.com/PngAdilnR4kyt/status/1888544461283815892,1630749805734678529,PngAdilnR4kyt
1888534779546743225,Sun Feb 09 10:25:53 +0000 2025,1597,PEMERINTAHAN PRABOWO SEDANG DI KUDETA SECARA HALUS OLEH BAYANG-BAYANG JOKOWI.... PRESIDEN PRABOWO HARUS SEGERA MENCOPOT PARA MENTERI TITIPAN JOKOWI....‼️ #JokowiDikepung #JokowiDikepung 🆘🆗 https://t.co/7YTfqk91UG,1888534779546743225,https://pbs.twimg.com/ext_tw_video_thumb/1888534667307184128/pu/img/fhE_G7SvXY9zDe25.jpg,,in,,27,71,725,https://x.com/PngAdilnR4kyt/status/1888534779546743225,1630749805734678529,PngAdilnR4kyt
1888517002958123475,Sun Feb 09 09:21:23 +0000 2025,2089,Orang ini contohnya. Di tahun 2021 hingga 2022 dia masih semangat ngetwit haram hukumnya memilih penculik sebagai presiden. Di 2023 hingga 2024 memuja Prabowo harga mati. Di 2025 sok bijak. Orang-orang kayak gini tak akan bisa dirangkul.,1888518548668162438,,glrhn,in,Between those li(n)es.,18,16,237,https://x.com/glrhn/status/1888518548668162438,129059811,glrhn
1888506207809511893,Sun Feb 09 08:32:21 +0000 2025,519,. . Udah bener emang kemaren mestinya diantem tabung gas aja sama si Bapak itu .. Kemiskinan Rakyat kok bisa-bisanya dijadiin becandaan sama Pembantu @prabowo ini ??!!! Jangankan punya EMPATI .. Ngerti ADAB aja kaga paham ni Pejabat !!! Kapan Bahlil mau Anda PECAT PAK PRESIDEN https://t.co/Huk45yq2Im,1888506207809511893,https://pbs.twimg.com/ext_tw_video_thumb/1888506176108945408/pu/img/vx2tiqBlRM_MxZfR.jpg,,in,Bermuda Triangle,6,56,190,https://x.com/StefanAntonio__/status/1888506207809511893,1529491450605768704,StefanAntonio__
1888489497223966756,Sun Feb 09 07:25:57 +0000 2025,92,Setiap kali engkau ditertawakan segelintir orang minus prestasi kepercayaan kami kpdmu semakin bertambah besar Presiden @prabowo Tekadmu mengembalikan hak2 rakyat satu persatu mulai tampak Kami sadar tak ada yg turun gratis dari langit semua perlu proses perjuangan https://t.co/oRmpE6tGuk,1888489497223966756,https://pbs.twimg.com/ext_tw_video_thumb/1888489468002476032/pu/img/RMGwR3m3LNX3wN04.jpg,,in,,1,21,26,https://x.com/BANGSAygSUJUD/status/1888489497223966756,1189039138835554304,BANGSAygSUJUD
1888487244396372435,Sun Feb 09 07:17:00 +0000 2025,186,Lapor pak Presiden @prabowo Masa kayak begitu pak.. IKN dibangun megah tapi masa buat Truk Sampah saja koq rombengan gitu.,1888487244396372435,,,in,"Bima Sakti, Bumi, Indonesia",1,14,83,https://x.com/abu_waras/status/1888487244396372435,2905814730,abu_waras
1888485568021192869,Sun Feb 09 07:10:20 +0000 2025,1542,Percaya ? Sambil cium tangan Fufufafa di depan Presiden Prabowo ?,1888485568021192869,,,in,,4,73,423,https://x.com/msaid_didu/status/1888485568021192869,1117990249806721024,msaid_didu
1888476926513180833,Sun Feb 09 06:36:00 +0000 2025,1205,Saya yakin rakyat akan dukung penuh langkah2 Presiden Prabowo untuk melakukan efisiensi anggaran negara https://t.co/ZBZs8dHlCU,1888476926513180833,https://pbs.twimg.com/ext_tw_video_thumb/1888476618785472512/pu/img/i1pgPM35j0ydx2JI.jpg,,in,Indonesia,18,48,411,https://x.com/arwidodo/status/1888476926513180833,158162219,arwidodo
1888437871004332220,Sun Feb 09 04:00:48 +0000 2025,481,Yth Bapak Presiden @prabowo Mohon kasus Pagar Laut lanjut tuntas adili pelaku seadil-adilnya dan usut juga pelaku penyebab kebakaran ini Pak Presiden Jangan ada lagi yg dikambinghitamkan Rakyat sudah tidak percaya Karena selalu saja jika ada kasus hukum besar di iringi,1888437871004332220,,,in,Jakarta Capital Region,4,25,285,https://x.com/DrEvaChaniago/status/1888437871004332220,1355632532,DrEvaChaniago
1888417954049696141,Sun Feb 09 02:41:40 +0000 2025,100,1. Presiden Prabowo Subianto memimpin Sidang Perdana Dewan Pertahanan Nasional (DPN) di Istana Kepresidenan Bogor Jawa Barat (7/2). #KemensetnegRI #RilisPresiden https://t.co/TOkECfR6IY,1888417954049696141,https://pbs.twimg.com/media/GjUBjeybgAAMHDx.jpg,,in,"Jakarta Pusat, DKI Jakarta",0,27,16,https://x.com/KemensetnegRI/status/1888417954049696141,3522129133,KemensetnegRI
1888379229395706226,Sun Feb 09 00:07:47 +0000 2025,168,Momen saat saya bersama Panglima TNI Kepala Staf Angkatan dan sejumlah Menteri Kabinet Merah Putih mendampingi Presiden @prabowo dalam pengarahan kepada para Komandan Satuan (Dansat) TNI di Istana Kepresidenan Bogor Jumat (7/2). Pertahanan yang kuat adalah kunci menjaga https://t.co/IhQs4MiHPT,1888379229395706226,https://pbs.twimg.com/ext_tw_video_thumb/1888379133715218433/pu/img/6Y5qFuOJCqwQbRnI.jpg,,in,Jakarta,1,17,32,https://x.com/sjafriesjams/status/1888379229395706226,608989879,sjafriesjams
1888260489463161170,Sat Feb 08 16:15:57 +0000 2025,300,Jika Pro Rakyat dan Bukan Pro Oligarki... Presiden Indonesia @prabowo mulai disukai karena ketegasan nya yang pro Rakyat. https://t.co/zzk0BJkoDW,1888260489463161170,https://pbs.twimg.com/media/GjRy6JFagAAbOC7.jpg,,in,INDONESIA,5,26,86,https://x.com/sutanmangara/status/1888260489463161170,1227719379103571968,sutanmangara
1888251789465801084,Sat Feb 08 15:41:23 +0000 2025,1311,Tolong pak presiden kami terhormat @prabowo Tolong usut kembali PEMBANTAIAN KM 50 pak ⁉️ Siapa dalang dibalik PEMBANTAIAN 6 Syuhada laskar FPI. SEKARANG begundal begundal sudah mulai aktif . Tegakan HUKUM INDONESIA pak @prabowo Video lama mengingat kan Kembali. https://t.co/j4AEvhn1oz,1888251789465801084,https://pbs.twimg.com/ext_tw_video_thumb/1888250316212289536/pu/img/bgCOH8bJyxpM-JtC.jpg,,in,"North Pole, AK",10,36,706,https://x.com/Opposisi6890/status/1888251789465801084,1724993917672894464,Opposisi6890
1888231292745220114,Sat Feb 08 14:19:56 +0000 2025,4018,Alhamdulillah Ole Romeny sudah resmi menjadi WNI setelah pengambilan sumpah. Setelah proses pengambilan sumpah Ole juga langsung membuat KTP dan paspor Indonesia. Terima kasih untuk Bapak Presiden Prabowo Subianto Ketua DPR RI Pimpinan Komisi X DPR RI Pimpinan Komisi XIII https://t.co/F7IrKeRQvd,1888231292745220114,https://pbs.twimg.com/media/GjRYWNWaAAApnlo.jpg,,in,Indonesia,85,207,465,https://x.com/erickthohir/status/1888231292745220114,43088704,erickthohir
1888208334198575264,Sat Feb 08 12:48:42 +0000 2025,2896,Warga Rempang: Kalau ingat @jokowi sesak napas saya betul-betul saya benci! *cc Pak Presiden @prabowo Bang Dasco @bang_dasco https://t.co/H34KsdKT2w,1888208334198575264,https://pbs.twimg.com/ext_tw_video_thumb/1888208216255033344/pu/img/77gmG6tDfPC9OC7C.jpg,,in,,23,78,1334,https://x.com/Piyusaja2/status/1888208334198575264,1610273431454625792,Piyusaja2
1888194297981497440,Sat Feb 08 11:52:56 +0000 2025,94,Pemerintahan Presiden @prabowo bisa menindaklanjuti apa yg terjadi di US. Skandal2 memanfaatkan media/pers untuk kepentingan/agenda politik bakal dibongkar habis. Terbukti di AS sendiri pd 2019 digunakan mengobok2 pemerintah AS sendiri. Follow isu bersihkan yg di RI.,1888194297981497440,,,in,Indonesia,2,20,22,https://x.com/ferrykoto/status/1888194297981497440,24893875,ferrykoto
